,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cholesterol,Additional Time:
10,6648532,Laura's Quick Slow Cooker Turkey Chili,15 mins, 4 hrs, 4 hrs 15 mins,8 ,8,276,8g,2g,547mg,33g,11g,1g,21g,24mg,78mg,4mg,428mg,4.7,"1,654",,42mg,
11,6651088,Baked Sweet Potatoes,5 mins, 1 hr, 1 hr 5 mins,4 ,4,181,7g,1g,115mg,28g,4g,9g,3g,26mg,52mg,1mg,643mg,4.6,705,,0mg,
12,6650991,Italian Seasoning,5 mins,,5 mins,10 ,10,14,0g,0g,3mg,3g,2g,0g,1g,2mg,73mg,3mg,84mg,4.8,80,10 tablespoons,0mg,
13,6648403,Easy Pizza Sauce,5 mins,,5 mins,24 ,24,11,0g,,148mg,3g,1g,2g,1g,3mg,8mg,1mg,138mg,4.5,"1,091",2 3/4 cups,,
14,6578826,Fideo,10 mins,20 mins,30 mins,4 ,4,288,8g,1g,543mg,47g,3g,5g,9g,5mg,26mg,3mg,311mg,4.3,101,,,
15,6650385,Baked Honey Mustard Chicken,15 mins,40 mins, 1 hr 5 mins,6 ,6,232,4g,1g,296mg,25g,1g,23g,26g,1mg,32mg,2mg,264mg,4.3,"3,057",,67mg,10 mins
16,6649234,Homemade Black Bean Veggie Burgers,15 mins,20 mins,35 mins,4 ,4,198,3g,1g,607mg,33g,10g,2g,11g,19mg,99mg,4mg,515mg,4.4,"3,734",4 burgers,47mg,
17,6581206,Grandma Oma's Pickled Okra,10 mins,25 mins, 12 hrs 35 mins,24 ,24,10,,,585mg,2g,1g,0g,1g,6mg,26mg,0mg,92mg,4.7,101,3 pints,, 12 hrs
18,6575205,Smoked Fish Dip,15 mins,,15 mins,16 ,16,25,0g,0g,202mg,1g,,1g,4g,0mg,11mg,0mg,76mg,4.6,106,2 cups,6mg,
19,6665032,Easy Chinese Corn Soup,5 mins,10 mins,15 mins,4 ,4,121,2g,1g,409mg,24g,2g,4g,5g,6mg,11mg,1mg,178mg,4.4,98,,48mg,
20,6740841,Wonton Soup,30 mins,10 mins, 1 hr 5 mins,6 ,6,195,6g,2g,887mg,21g,1g,,13g,1mg,30mg,2mg,195mg,4.5,413,,44mg,25 mins
21,6739292,Exquisite Pizza Sauce,10 mins,,40 mins,4 ,4,89,1g,1g,551mg,18g,2g,14g,4g,10mg,72mg,2mg,457mg,4.6,"2,924",,4mg,30 mins
22,6580242,Cream of Chicken Breasts,5 mins, 1 hr 30 mins, 1 hr 35 mins,4 ,4,237,7g,3g,607mg,9g,,4g,32g,2mg,114mg,2mg,453mg,4.3,196,,81mg,
23,6738187,Beef Tips and Noodles,10 mins, 1 hr, 1 hr 10 mins,8 ,8,314,9g,3g,673mg,41g,2g,2g,17g,0mg,38mg,3mg,221mg,4.3,"1,455",,65mg,
24,6577578,Tomato and Garlic Pasta,15 mins,30 mins,45 mins,4 ,4,260,7g,1g,236mg,42g,5g,8g,10g,31mg,86mg,2mg,710mg,4.4,263,,4mg,
25,6739258,Simple Baked Beans,15 mins, 3 hrs, 3 hrs 15 mins,10 ,10,176,4g,1g,402mg,32g,4g,18g,6g,3mg,77mg,2mg,390mg,4.6,184,,10mg,
26,6664964,Pan Fried Green Beans,15 mins,15 mins,30 mins,5 ,5,114,8g,1g,8mg,10g,5g,2g,3g,22mg,51mg,2mg,285mg,4.3,96,,,
27,6649914,Slow Cooker Homemade Beans,20 mins, 8 hrs, 8 hrs 20 mins,12 ,12,296,3g,1g,1312mg,57g,13g,23g,12g,7mg,118mg,4mg,741mg,4.2,334,,5mg,
28,6650672,Grandma's Slow Cooker Vegetarian Chili,10 mins, 2 hrs, 2 hrs 10 mins,8 ,8,260,2g,0g,966mg,53g,13g,9g,12g,19mg,102mg,5mg,451mg,4.4,972,,1mg,
29,6651074,Bourbon Chicken,15 mins,30 mins, 8 hrs 45 mins,4 ,4,313,2g,0g,1664mg,31g,1g,28g,29g,3mg,46mg,2mg,437mg,4.5,546,,68mg, 8 hrs
30,6736802,Pork Chops for the Slow Cooker,5 mins, 6 hrs, 6 hrs 5 mins,6 ,6,146,4g,2g,1337mg,11g,0g,9g,16g,2mg,24mg,1mg,308mg,4.0,"1,372",,36mg,
31,6664703,Mango Salsa,15 mins,,45 mins,8 ,8,21,0g,,1mg,5g,1g,4g,0g,17mg,6mg,0mg,70mg,4.7,507,,,30 mins
32,6600659,Chicken and Red Wine Sauce,10 mins,45 mins,55 mins,12 ,12,214,4g,1g,248mg,19g,0g,18g,22g,1mg,29mg,1mg,208mg,4.1,974,,59mg,
33,6739051,Orange Vinaigrette,5 mins,,5 mins,4 ,4,27,,,96mg,7g,0g,6g,0g,8mg,5mg,0mg,40mg,4.4,157,,,
34,6594528,Lemon-Orange Orange Roughy,10 mins,5 mins,15 mins,4 ,4,140,4g,1g,139mg,8g,2g,4g,19g,43mg,44mg,1mg,303mg,4.4,253,,67mg,
35,6574399,Steak Sauce,5 mins,,5 mins,12 ,12,29,0g,,434mg,7g,0g,6g,1g,4mg,10mg,0mg,125mg,4.3,228,,,
36,6738954,Sofrito,20 mins,,20 mins,80 ,80,10,0g,,89mg,2g,0g,1g,0g,14mg,8mg,0mg,58mg,4.8,97,5 cups,,
37,6563423,Easy Pizza Sauce from Tomato Sauce,5 mins,,5 mins,8 ,8,8,,,147mg,2g,1g,,0g,2mg,7mg,0mg,98mg,4.5,207,,,
38,6738161,Quinoa and Black Beans,15 mins,35 mins,50 mins,10 ,10,153,2g,0g,517mg,28g,8g,2g,8g,5mg,41mg,2mg,333mg,4.7,"6,025",,,
39,6737037,Pasta e Fagioli (Pasta and Beans),15 mins,35 mins,50 mins,4 ,4,225,4g,1g,758mg,37g,8g,6g,11g,16mg,122mg,5mg,953mg,4.6,532,,2mg,
40,6739815,Six Can Chicken Tortilla Soup,5 mins,15 mins,20 mins,6 ,6,214,5g,1g,1483mg,27g,7g,3g,17g,6mg,44mg,3mg,427mg,4.5,"2,207",,32mg,
41,6562082,Eastern North Carolina BBQ Sauce,5 mins,,1 day 5 mins,32 ,32,4,,,76mg,1g,0g,1g,,0mg,2mg,0mg,11mg,4.5,198,2 cups,,1 day
42,6648568,Navy Bean Soup,15 mins, 4 hrs 10 mins, 4 hrs 25 mins,8 ,8,236,3g,1g,879mg,36g,13g,4g,16g,9mg,98mg,4mg,761mg,4.6,464,,15mg,
43,6596425,Homemade Stewed Tomatoes,20 mins,30 mins,50 mins,16 ,16,14,0g,,481mg,3g,1g,2g,1g,18mg,9mg,1mg,168mg,4.2,39,,,
44,6574767,Fantastic Black Bean Chili,20 mins, 1 hr 15 mins, 1 hr 35 mins,6 ,6,366,9g,2g,969mg,44g,18g,1g,30g,15mg,145mg,7mg,1101mg,4.5,"1,039",,56mg,
45,6738768,Linguine with White Clam Sauce,10 mins,20 mins,30 mins,6 ,6,545,15g,2g,392mg,57g,3g,2g,44g,42mg,158mg,40mg,1036mg,4.6,167,,90mg,
46,6595481,Cornmeal Mush,5 mins,5 mins,10 mins,8 ,8,80,0g,,147mg,17g,1g,0g,2g,,1mg,1mg,33mg,3.6,84,,,
47,6650229,Cock-a-Leekie Soup,10 mins, 1 hr 30 mins, 1 hr 40 mins,12 ,12,243,7g,2g,503mg,12g,2g,3g,32g,8mg,61mg,3mg,544mg,4.5,79,,126mg,
48,6649723,Mexican Ceviche,30 mins,, 2 hrs,8 ,8,387,12g,2g,733mg,58g,8g,7g,18g,71mg,182mg,3mg,593mg,4.5,69,,86mg, 1 hr 30 mins
49,6739044,Tasty Collard Greens,30 mins, 2 hrs, 2 hrs 30 mins,10 ,10,142,8g,1g,689mg,11g,5g,1g,10g,51mg,213mg,1mg,354mg,4.8,450,,23mg,
50,6738390,How to Make Pico de Gallo,15 mins,,45 mins,4 ,4,21,0g,,76mg,5g,1g,2g,1g,7mg,13mg,0mg,144mg,4.4,531,4 servings,,30 mins
51,6573492,Ezekiel Bread,20 mins,45 mins, 2 hrs 5 mins,24 ,24,221,5g,1g,585mg,40g,5g,12g,6g,0mg,17mg,2mg,175mg,4.2,46,2 loaves,, 1 hr
52,6650025,Grilled Portobello Mushrooms,10 mins,10 mins, 1 hr 20 mins,3 ,3,217,19g,1g,13mg,11g,2g,5g,3g,2mg,25mg,1mg,589mg,4.5,474,,, 1 hr
53,6574817,Marinated Turkey Breast,20 mins,30 mins, 5 hrs,12 ,12,317,6g,1g,405mg,2g,0g,1g,60g,1mg,31mg,3mg,597mg,4.6,283,,164mg, 4 hrs 10 mins
54,6739223,Crab Ceviche,30 mins,, 1 hr 30 mins,8 ,8,62,2g,0g,241mg,9g,2g,4g,3g,14mg,20mg,1mg,195mg,4.6,237,,6mg, 1 hr
55,6736424,Sauerkraut for Canning, 1 hr, 1 hr 30 mins,21 days 15 hrs 20 mins,144 ,144,39,0g,,1470mg,9g,4g,,2g,58mg,64mg,1mg,268mg,4.6,29,36 pints,,21 days 12 hrs 50 mins
56,6579043,Salsa,10 mins,,10 mins,4 ,4,53,1g,0g,13mg,12g,3g,7g,2g,31mg,34mg,1mg,545mg,4.3,250,4 cups,,
57,6737642,Ginger Glazed Mahi Mahi,5 mins,10 mins,35 mins,4 ,4,259,7g,1g,830mg,16g,0g,15g,32g,0mg,34mg,2mg,755mg,4.6,"2,816",,124mg,20 mins
58,6650839,Aunt Jewel's Chicken Dressing Casserole,15 mins, 1 hr 15 mins, 1 hr 30 mins,12 ,12,236,5g,2g,745mg,16g,2g,3g,30g,2mg,65mg,2mg,394mg,4.2,340,,73mg,
59,6736630,Grandma's Chicken Noodle Soup,15 mins,30 mins,45 mins,12 ,12,147,4g,1g,1664mg,11g,1g,2g,16g,1mg,26mg,1mg,355mg,4.6,"1,891",,33mg,
60,6738123,Vegetarian Chickpea Sandwich Filling,20 mins,,20 mins,3 ,3,259,6g,1g,576mg,44g,9g,1g,9g,11mg,74mg,3mg,389mg,4.4,"1,558",,2mg,
61,6564211,Tempura Dipping Sauce,,5 mins,5 mins,4 ,4,38,,,453mg,5g,0g,5g,1g,,5mg,0mg,18mg,4.1,21,,,
62,6737906,Frogmore Stew,10 mins,30 mins,40 mins,12 ,12,499,16g,5g,2733mg,39g,5g,5g,53g,14mg,127mg,4mg,1110mg,4.8,575,,299mg,
