,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Chill Time:,Yield:,Additional Time:,Cool Time:,Stand Time:
10,6568432,20 mins,10 mins,30 mins,72 ,72,113,6g,2g,11mg,24mg,13g,0g,5g,1g,,11mg,1mg,14mg,4.6,89,,,6 dozen,,,
11,6575583,25 mins,15 mins, 4 hrs 45 mins,60 ,60,45,2g,1g,7mg,28mg,7g,0g,5g,0g,,7mg,0mg,9mg,4.3,157,,,5 dozen, 4 hrs 5 mins,,
12,6579036,15 mins,10 mins,55 mins,24 ,24,82,5g,3g,21mg,39mg,8g,0g,0g,1g,,12mg,0mg,16mg,3.3,16,,,24 cookies,30 mins,,
13,6597986,15 mins,5 mins, 2 hrs 20 mins,60 ,60,112,5g,2g,14mg,68mg,16g,0g,11g,1g,,5mg,0mg,11mg,4.6,324,,,5 dozen, 2 hrs,,
14,6601508,,,,36 ,36,135,6g,4g,26mg,68mg,18g,0g,8g,2g,,21mg,1mg,21mg,4.4,361,,,6 dozen,,,
15,6596654,,,,30 ,30,281,11g,7g,41mg,183mg,43g,1g,26g,4g,0mg,34mg,1mg,53mg,4.1,97,,,5 dozen,,,
16,6588196,30 mins,20 mins, 2 hrs 55 mins,30 ,30,126,6g,4g,23mg,88mg,16g,0g,8g,1g,,4mg,1mg,32mg,4.4,226,,,5 dozen, 2 hrs 5 mins,,
17,6576311,,,,60 ,60,77,3g,1g,9mg,79mg,11g,0g,5g,1g,,4mg,0mg,29mg,4.3,454,,,3 to 5 dozen,,,
18,6738302,,,,24 ,24,163,8g,5g,46mg,108mg,21g,0g,11g,2g,,7mg,1mg,29mg,4.7,"2,283",,,4 dozen,,,
19,6649539,15 mins,10 mins,30 mins,36 ,36,125,6g,2g,10mg,71mg,17g,0g,9g,1g,,4mg,1mg,42mg,4.7,976,,,3 dozen,5 mins,,
20,6599885,15 mins,12 mins,30 mins,30 ,30,186,8g,2g,19mg,97mg,27g,0g,16g,2g,0mg,33mg,1mg,52mg,4.0,81,,,2 1/2 dozen,3 mins,,
21,6736837,15 mins,10 mins,30 mins,18 ,18,144,6g,3g,24mg,95mg,22g,1g,14g,2g,0mg,13mg,1mg,33mg,4.8,74,,,18 to 20 cookies,5 mins,,
22,6597276,30 mins,20 mins,50 mins,78 ,78,51,3g,2g,9mg,40mg,6g,0g,3g,1g,,6mg,0mg,7mg,4.6,336,,,6 1/2 dozen,,,
23,6738048,10 mins,10 mins,30 mins,24 ,24,189,8g,5g,28mg,116mg,28g,0g,17g,2g,1mg,12mg,1mg,23mg,4.6,68,,,2 dozen cookies,10 mins,,
24,6597151,30 mins,20 mins, 1 hr 55 mins,72 ,72,148,6g,4g,39mg,69mg,21g,0g,12g,2g,,14mg,1mg,19mg,4.6,282,,,6 dozen, 1 hr 5 mins,,
25,6592256,15 mins,1 mins,16 mins,144 ,144,71,3g,2g,16mg,23mg,11g,0g,6g,1g,,8mg,0mg,19mg,4.8,31,,,12 dozen,,,
26,6601082,10 mins,15 mins,30 mins,24 ,24,115,5g,1g,8mg,86mg,17g,0g,9g,2g,0mg,12mg,1mg,26mg,4.3,97,,,4 dozen,5 mins,,
