,id_recipe,name,Prep Time:,Cook Time:,Release Pressure Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Rest Time:,Yield:
46,6598196,Instant Pot Southern Cabbage,20 mins,15 mins,,35 mins,8 ,8,136,11g,5g,22mg,155mg,9g,4g,5g,3g,54mg,61mg,1mg,274mg,4.7,75,,,
47,6736397,Instant Pot Vegan Cabbage Detox Soup,15 mins,25 mins,,50 mins,6 ,6,67,0g,0g,,348mg,13g,4g,7g,2g,27mg,79mg,2mg,367mg,4.5,242,10 mins,,
48,6651192,Instant Pot Shepherd's Pie,10 mins,35 mins,, 1 hr,6 ,6,347,18g,8g,65mg,576mg,29g,5g,3g,18g,30mg,73mg,3mg,847mg,4.5,52,15 mins,,1 8-inch square dish
49,6575732,Instant Pot Red Posole,15 mins,45 mins,, 1 hr 10 mins,8 ,8,263,15g,6g,63mg,601mg,13g,3g,2g,18g,16mg,41mg,2mg,337mg,4.8,26,10 mins,,
50,6577309,Instant Pot Chicken Enchiladas,35 mins,40 mins,, 1 hr 25 mins,16 ,16,222,10g,5g,43mg,549mg,16g,3g,1g,17g,10mg,200mg,2mg,316mg,5.0,13,10 mins,,16 enchiladas
51,6585259,Instant Pot® Brown Rice,5 mins,35 mins,,50 mins,12 ,12,106,2g,0g,,162mg,21g,1g,1g,2g,,2mg,1mg,1mg,4.8,4,10 mins,,6 cups cooked
52,6649483,Instant Pot Shredded Flank Steak,20 mins, 1 hr,, 1 hr 40 mins,4 ,4,264,13g,3g,31mg,831mg,11g,2g,2g,22g,4mg,43mg,3mg,364mg,4.4,8,20 mins,,
53,6649897,Instant Pot Ham,15 mins,55 mins,, 1 hr 20 mins,8 ,8,356,21g,8g,64mg,1461mg,20g,1g,18g,21g,45mg,25mg,1mg,440mg,4.6,8,10 mins,,
54,6649630,Instant Pot Roasted Brussels Sprouts,5 mins,20 mins,,30 mins,4 ,4,113,7g,1g,0mg,637mg,11g,3g,3g,3g,72mg,48mg,2mg,408mg,4.1,61,5 mins,,
55,6570225,Instant Pot® Pork Tenderloin,5 mins,25 mins,,45 mins,8 ,8,165,7g,2g,63mg,123mg,5g,0g,3g,20g,1mg,6mg,1mg,339mg,4.7,20,15 mins,,8 servings
