id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
6648683,25 mins,, 1 hr 25 mins,,,,,,, 1 hr,,,,,,,,,,,
6572394,30 mins,,30 mins,,,,,,,,,,,,,,,,,,
6736961,20 mins,10 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6592289, 1 hr,30 mins, 9 hrs 30 mins,,,,,,, 8 hrs,,,,,,,,,,,
6738241,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6738139,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6738851,30 mins,,30 mins,,,,,,,,,,,,,,,,,,
6576110,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6569789,15 mins,10 mins, 5 hrs 25 mins,,,,,,, 5 hrs,,,,,,,,,,,
6569905,45 mins,,45 mins,,,,,,,,,,,,,,,,,,
6738114,15 mins,7 mins,22 mins,,,,,,,,,,,,,,,,,,
6575586,20 mins,,20 mins,,,,,,,,,,,,,,,,,,
6584344,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6741711,20 mins,36 mins,56 mins,,,,,,,,,,,,,,,,,,
6606117,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6570810,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6588785,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6575712,15 mins,2 mins,17 mins,,,,,,,,,,,,,,,,,,
6575049, 1 hr,55 mins, 9 hrs 55 mins,,,,,,, 8 hrs,,,,,,,,,,,
6596558,30 mins,, 5 hrs 30 mins,,,,,,, 5 hrs,,,,,,,,,,,
6586438,25 mins,,25 mins,,,,,,,,,,,,,,,,,,
6589766,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6601728,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
