URL,Category
https://www.allrecipes.com/recipes/23250/everyday-cooking/vegetarian/main-dishes/beans-and-peas/falafel/,falafel
https://www.allrecipes.com/recipes/1641/holidays-and-events/fathers-day/,father's_day
https://www.allrecipes.com/recipes/501/pasta-and-noodles/pasta-by-shape/fettuccini/,fettuccini
https://www.allrecipes.com/recipes/1024/meat-and-poultry/beef/steaks/filet-mignon/,filet_mignon
https://www.allrecipes.com/recipes/14445/desserts/custards-and-puddings/flan/,flan
https://www.allrecipes.com/recipes/1023/meat-and-poultry/beef/steaks/flank-steak/,flank_steak
https://www.allrecipes.com/recipes/17641/meat-and-poultry/beef/steaks/flat-iron-steak/,flat_iron_steak
https://www.allrecipes.com/recipes/345/bread/yeast-bread/flat-bread/,flatbreads
https://www.allrecipes.com/recipes/2417/desserts/frostings-and-icings/fondant/,fondant
https://www.allrecipes.com/recipes/958/holidays-and-events/christmas/food-gifts/,food_gifts
https://www.allrecipes.com/recipes/16009/soups-stews-and-chili/soup/vegetable-soup/onion-soup/french-onion-soup/,french_onion_soups
https://www.allrecipes.com/recipes/149/breakfast-and-brunch/french-toast/,french_toast
https://www.allrecipes.com/recipes/650/meat-and-poultry/chicken/fried-chicken/,fried_chicken
https://www.allrecipes.com/recipes/14363/main-dish/rice/fried-rice/,fried_rice
https://www.allrecipes.com/recipes/15466/side-dish/fries/,fries
https://www.allrecipes.com/recipes/1564/breakfast-and-brunch/eggs/frittata/,frittatas
https://www.allrecipes.com/recipes/17100/desserts/frostings-and-icings/,frostings_and_icings
https://www.allrecipes.com/recipes/211/salad/fruit-salads/,fruit_salads
https://www.allrecipes.com/recipes/391/desserts/cakes/fruitcake/,fruitcakes
https://www.allrecipes.com/recipes/750/desserts/candy/fudge/,fudge
https://www.allrecipes.com/recipes/14966/appetizers-and-snacks/garlic-bread/,garlic_bread
https://www.allrecipes.com/recipes/14767/soups-stews-and-chili/soup/vegetable-soup/gazpacho/,gazpacho
https://www.allrecipes.com/recipes/14712/desserts/cookies/gingerbread-cookies/,gingerbread_cookies
https://www.allrecipes.com/recipes/17794/desserts/cookies/gingersnaps/,gingersnaps
https://www.allrecipes.com/recipes/741/healthy-recipes/gluten-free/,gluten-free
https://www.allrecipes.com/recipes/16808/pasta-and-noodles/pasta-by-shape/gnocchi/,gnocchi
https://www.allrecipes.com/recipes/17046/soups-stews-and-chili/stews/goulash/,goulash
https://www.allrecipes.com/recipes/1311/breakfast-and-brunch/cereals/granola/,granola
https://www.allrecipes.com/recipes/916/side-dish/sauces-and-condiments/gravy/,gravies
https://www.allrecipes.com/recipes/213/salad/green-salads/,green_salads
https://www.allrecipes.com/recipes/15899/side-dish/grains/grits/,grits
https://www.allrecipes.com/recipes/471/meat-and-poultry/beef/ground/,ground_beef
https://www.allrecipes.com/recipes/17022/meat-and-poultry/chicken/ground-chicken/,ground_chicken
https://www.allrecipes.com/recipes/17299/meat-and-poultry/lamb/ground/,ground_lamb
https://www.allrecipes.com/recipes/17021/meat-and-poultry/pork/ground/,ground_pork
https://www.allrecipes.com/recipes/693/meat-and-poultry/turkey/ground/,ground_turkey
https://www.allrecipes.com/recipes/434/appetizers-and-snacks/dips-and-spreads/guacamole/,guacamole
https://www.allrecipes.com/recipes/1426/soups-stews-and-chili/stews/gumbo/,gumbos
https://www.allrecipes.com/recipes/16770/main-dish/sandwiches/gyros/,gyros
https://www.allrecipes.com/recipes/189/holidays-and-events/halloween/,halloween
https://www.allrecipes.com/recipes/190/holidays-and-events/hanukkah/,hanukkah
https://www.allrecipes.com/recipes/734/us-recipes/us-recipes-by-state/hawaii/,hawaiian
https://www.allrecipes.com/recipes/84/healthy-recipes/,healthy_recipes
https://www.allrecipes.com/recipes/782/healthy-recipes/high-fiber/,high_fiber
https://www.allrecipes.com/recipes/494/pasta-and-noodles/homemade-pasta/,homemade_pasta
https://www.allrecipes.com/recipes/1281/appetizers-and-snacks/dips-and-spreads/hummus/,hummus
https://www.allrecipes.com/recipes/17506/side-dish/hushpuppies/,hushpuppies
https://www.allrecipes.com/recipes/1556/desserts/frozen-desserts/ice-cream/,ice_cream
https://www.allrecipes.com/recipes/233/world-cuisine/asian/indian/,indian
https://www.allrecipes.com/recipes/22882/everyday-cooking/instant-pot/,instant_pot
https://www.allrecipes.com/recipes/1452/bread/quick-bread/irish-soda-bread/,irish_soda_bread
https://www.allrecipes.com/recipes/723/world-cuisine/european/italian/,italian
https://www.allrecipes.com/recipes/1241/appetizers-and-snacks/vegetable/jalapeno-poppers/,jalapeno_poppers
https://www.allrecipes.com/recipes/1428/soups-stews-and-chili/stews/jambalaya/,jambalayas
https://www.allrecipes.com/recipes/1961/side-dish/sauces-and-condiments/canning-and-preserving/jams-and-jellies/,jams_and_jellies
https://www.allrecipes.com/recipes/980/desserts/specialty-desserts/dessert-salads/jell-o-salad/,jell-o_salads
https://www.allrecipes.com/recipes/16832/drinks/shots/jell-o-shots/,jell-o_shots
https://www.allrecipes.com/recipes/17041/appetizers-and-snacks/meat-and-poultry/jerky/,jerky
https://www.allrecipes.com/recipes/15965/us-recipes/jewish/,jewish
https://www.allrecipes.com/recipes/191/holidays-and-events/4th-of-july/,july_4th
https://www.allrecipes.com/recipes/17834/world-cuisine/asian/korean/main-dishes/kalbi/,kalbi
https://www.allrecipes.com/recipes/22959/healthy-recipes/keto-diet/,keto
https://www.allrecipes.com/recipes/2409/desserts/pies/custard-and-cream-pies/key-lime-pie/,key_lime_pie
